match_id,player_id,minutes
122841,622,101.29913333333334
122841,862,90.365
122841,968,90.365
122841,986,101.29913333333334
122841,1135,10.934133333333333
122841,1268,96.00376666666666
122841,1294,96.00376666666666
122841,1320,101.29913333333334
122841,9604,10.934133333333333
122841,9604,90.365
122841,15811,10.934133333333333
122841,23350,101.29913333333334
122841,27747,22.02
122841,49785,101.29913333333334
122841,62650,5.295366666666666
122841,68933,79.27913333333332
122841,94862,5.295366666666666
122848,622,99.72798333333334
122848,862,62.6801
122848,930,27.427083333333332
122848,930,9.620800000000001
122848,968,27.427083333333332
122848,986,85.67236666666666
122848,1050,99.72798333333334
122848,1294,99.72798333333334
122848,1320,99.72798333333334
122848,9604,85.67236666666666
122848,15811,72.3009
122848,23350,99.72798333333334
122848,49785,99.72798333333334
122848,62650,99.72798333333334
122848,94847,14.055616666666667
122848,94862,14.055616666666667
122861,622,94.02281666666666
122861,862,47.050216666666664
122861,930,46.97260000000001
122861,968,47.050216666666664
122861,986,47.050216666666664
122861,986,46.97260000000001
122861,1050,94.02281666666666
122861,1294,74.50295
122861,1320,74.50295
122861,9604,94.02281666666666
122861,15811,46.97260000000001
122861,23350,94.02281666666666
122861,49785,94.02281666666666
122861,62650,47.050216666666664
122861,68933,19.519866666666665
122861,94847,46.97260000000001
122861,94862,19.519866666666665
122867,622,88.84523333333333
122867,622,12.849483333333334
122867,862,101.69471666666666
122867,968,27.558766666666667
122867,986,91.02096666666667
122867,1050,88.84523333333333
122867,1135,101.69471666666666
122867,1294,18.15865
122867,1294,55.9773
122867,1320,101.69471666666666
122867,9604,83.53606666666666
122867,15811,91.02096666666667
122867,23350,101.69471666666666
122867,28559,18.15865
122867,49785,101.69471666666666
122867,68933,10.67375
122867,94847,10.67375
122882,622,100.8747
122882,862,100.8747
122882,930,23.403166666666667
122882,986,88.23953333333334
122882,1294,77.47153333333334
122882,1320,100.8747
122882,9604,88.23953333333334
122882,15811,77.47153333333334
122882,23350,100.8747
122882,27747,100.8747
122882,28559,12.635166666666667
122882,49785,100.8747
122882,62650,100.8747
122882,94847,12.635166666666667
122882,94862,23.403166666666667
122891,622,99.94685
122891,862,91.8599
122891,930,23.8204
122891,968,8.08695
122891,986,99.94685
122891,1135,8.08695
122891,1294,56.34311666666667
122891,1294,19.783333333333335
122891,1320,99.94685
122891,9604,15.73345
122891,9604,76.12645
122891,15811,76.12645
122891,23350,99.94685
122891,27747,19.783333333333335
122891,28559,23.8204
122891,49785,99.94685
122891,62650,8.08695
122891,62650,91.8599
122891,68933,23.8204
122891,68933,56.34311666666667
122899,862,86.79726666666667
122899,930,26.193416666666668
122899,930,22.950783333333334
122899,986,70.88165000000001
122899,986,26.193416666666668
122899,1135,97.07506666666667
122899,1294,26.193416666666668
122899,1294,70.88165000000001
122899,1320,86.79726666666667
122899,9604,22.950783333333334
122899,9604,47.93086666666667
