cluster,cluster_name,count,percentage,mean_silhouette,median_silhouette,negative_percentage
0,Defensive Performance,144,39.23705722070845,0.13918743704018505,0.1275741081841681,0.0
1,High-Impact Attacking Performance,73,19.891008174386922,0.05649703614125752,0.03691880187711805,39.726027397260275
2,Support Performance,150,40.87193460490463,0.1354045133298136,0.14072017321639443,0.6666666666666667
