,passes_per90,pass_success_rate,dribble_success_rate,shots_per90,total_pxt_per90,final_third_actions_per90,opponent_box_actions_per90,between_lines_receptions_per90,wide_availability_per90,box_availability_per90,hold_up_actions_per90,interceptions_per90,loose_ball_regains_per90,ground_duels_per90,clearances_per90,blocks_per90,high_pressure_actions_per90
0,-0.027743797498285393,0.15196848051215064,0.05075115574792981,-0.7032121575884003,-0.9745489473768748,-1.06547216166795,-0.6840851388737461,-1.0162262453766269,-0.632314968484494,-0.5155051284414176,-0.9646242000767195,1.198061496830724,1.02096801016882,0.20331690871388752,0.30915851654637533,1.2483998239435834,-0.1826233399531263
1,-0.8844768243319212,0.2873806570332556,0.7506168837278407,1.9595604549103895,1.171936766565523,1.3941312967142554,0.20387690084516374,0.4542105302537981,-0.11117730297353638,-0.5155051284414176,-0.3147007865398944,-0.8889142599262587,-0.4589927885363885,-0.3660933375839991,-0.6599514788172619,0.21720923731606226,-1.3111694690133218
2,-1.14101020957338,-1.269859372959457,-2.685087599082629,4.28901990541893,2.5572965557930405,0.898719281663035,3.662397688152656,-0.035935061623010245,-0.9746621095198437,4.187006443813344,2.1518730364236274,-0.8889142599262587,-0.1995658796749057,-1.0922690282403074,-1.2381163338412584,0.21720923731606226,1.0657645245741683
3,-0.37100891627866966,-0.42729471905035604,0.7506168837278407,-0.10937329833412619,-0.26326013122837233,-0.44675937140243693,-0.29843372624438325,-0.2874933504925677,0.22355288410388005,-0.5155051284414176,-1.239665970151215,-0.5129248584563947,2.178091069757413,0.8511098771909849,1.3406750834714645,0.07525969251781575,-0.1826233399531263
5,0.047581843683504196,0.10509503479330663,0.7506168837278407,-0.7032121575884003,-0.35659163289201007,0.30146444327211136,-0.46998770847681043,-0.7086549354318588,1.915180228140549,1.0127968867762078,-0.6592409742080906,-0.4657376468110065,-1.023558806631772,0.2747787150841518,-0.6939099038410106,0.13996764474692253,-1.2998574237190623
6,0.10794832763051682,-0.8055890534585238,0.7506168837278407,0.5499753760003157,0.627477275987457,1.6537752332963245,0.5473201333022324,0.8292016142919812,0.37995148625846537,1.0127968867762078,-0.9494534721796527,0.4369427424779411,-0.04680077168239737,0.2747787150841518,-0.6939099038410106,-0.4789563970805147,-1.2103644182721787
7,0.601575586932419,1.5112984063586319,0.7506168837278407,-0.7032121575884003,-0.5147013714390272,-0.7119219958019425,-0.8769108451884277,0.5869861233683034,-0.8890753242610063,-0.5155051284414176,-0.41454065992772865,1.198061496830724,0.5581187863333829,1.4989028456680824,0.30915851654637533,-0.5113103731950681,0.15663585528400303
9,0.20579006294427968,-0.10323139062377884,-1.0490378453633586,-0.7032121575884003,0.6546318325187875,0.898719281663035,0.6361919992586003,1.761265441925287,-0.30306281553938247,-0.5155051284414176,-0.006379058669454264,-0.4094104837525635,-0.1995658796749057,-0.3660933375839991,-0.6599514788172619,0.21720923731606226,0.01991356739567256
11,1.6313709432735721,0.37970714102491837,0.49866522165507265,-0.10937329833412619,0.026107791829289004,-0.6235344543354406,0.08721768638497965,-0.870479666399815,-0.632314968484494,0.9329055858175659,-0.1394988898532332,1.198061496830724,1.02096801016882,-0.4444760597632099,-0.20659976691616916,0.07525969251781575,-0.9459565292366682
15,-1.1719865985296234,1.0772850200730373,0.7506168837278407,-0.7032121575884003,-0.42328440840943654,0.024614340137024102,-0.3841436790304113,-0.08508576011342206,-0.755944603235979,-0.5155051284414176,-0.8882305827098916,0.8177995428309954,-1.460423890669428,-0.2645497592839871,0.07990683133570996,0.4011026300961205,-1.6669013976613993
17,0.30157383101933855,-0.26723304467552667,0.356942411739141,-0.7032121575884003,-0.8397824659995006,-1.1510747258164822,-0.8769108451884277,-0.5720980786422705,-0.6269215102728718,-0.5155051284414176,-1.239665970151215,0.8040092649268543,2.005001583747007,-0.4342704997147234,0.3335348330017187,-0.5020693404584042,0.028428532212171224
18,-0.8235282440593522,0.355086745293809,-1.6114299482043575,3.1356688768779315,2.124699728598949,2.0976614730721566,0.6812453267118321,1.339226623500299,-0.55970422791916,1.825313569441153,0.9828490656426275,-0.6771243283053594,-0.6340911864783108,-0.04535196387446729,-0.4045843655731249,-1.097880438907952,0.23625244076711457
