match_id,player_id,minutes,play_duration_seconds,match_share,kpi_position,squad_id,estimated_match_duration_seconds
122867,1320,101.69471666666666,6101.683,1.0,DEFENSE_MIDFIELD,34,6101.683
122867,9604,83.53606666666666,5012.164,0.82143956,ATTACKING_MIDFIELD,34,6101.683244960835
122867,15811,91.02096666666667,5461.258,0.8950412,ATTACKING_MIDFIELD,34,6101.683363849619
122867,23350,101.69471666666666,6101.683,1.0,CENTRAL_DEFENDER,34,6101.683
122867,28559,18.15865,1089.519,0.1785604,CENTER_FORWARD,34,6101.683239956899
122867,49785,101.69471666666666,6101.683,1.0,GOALKEEPER,34,6101.683
122867,68933,10.67375,640.425,0.10495875,ATTACKING_MIDFIELD,34,6101.682803958697
122867,94847,10.67375,640.425,0.10495875,LEFT_WINGBACK_DEFENDER,34,6101.682803958697
122882,622,100.8747,6052.482,1.0,CENTRAL_DEFENDER,34,6052.482
122882,862,100.8747,6052.482,1.0,RIGHT_WINGBACK_DEFENDER,34,6052.482
122882,930,23.403166666666667,1404.19,0.23200235,RIGHT_WINGER,34,6052.481795981808
122882,986,88.23953333333334,5294.372,0.87474394,LEFT_WINGBACK_DEFENDER,34,6052.482055491577
122882,1294,77.47153333333334,4648.292,0.7679977,LEFT_WINGER,34,6052.481667588328
122882,1320,100.8747,6052.482,1.0,DEFENSE_MIDFIELD,34,6052.482
122882,9604,88.23953333333334,5294.372,0.87474394,CENTER_FORWARD,34,6052.482055491577
122882,15811,77.47153333333334,4648.292,0.7679977,RIGHT_WINGER,34,6052.481667588328
122882,23350,100.8747,6052.482,1.0,CENTRAL_DEFENDER,34,6052.482
122882,27747,100.8747,6052.482,1.0,DEFENSE_MIDFIELD,34,6052.482
122882,28559,12.635166666666667,758.11,0.12525605,CENTER_FORWARD,34,6052.482095675218
122882,49785,100.8747,6052.482,1.0,GOALKEEPER,34,6052.482
122882,62650,100.8747,6052.482,1.0,CENTRAL_DEFENDER,34,6052.482
122882,94847,12.635166666666667,758.11,0.12525605,LEFT_WINGBACK_DEFENDER,34,6052.482095675218
122882,94862,23.403166666666667,1404.19,0.23200235,LEFT_WINGER,34,6052.481795981808
122891,622,99.94685,5996.811,1.0,CENTRAL_DEFENDER,34,5996.811
122891,862,91.8599,5511.594,0.91908747,RIGHT_WINGBACK_DEFENDER,34,5996.811163142067
122891,930,23.8204,1429.224,0.23833068,ATTACKING_MIDFIELD,34,5996.81081764211
122891,968,8.08695,485.217,0.08091251,ATTACKING_MIDFIELD,34,5996.810629159817
122891,986,99.94685,5996.811,1.0,LEFT_WINGBACK_DEFENDER,34,5996.811
122891,1135,8.08695,485.217,0.08091251,CENTRAL_DEFENDER,34,5996.810629159817
122891,1294,56.34311666666667,3380.587,0.5637308,CENTRAL_MIDFIELD,34,5996.810889169086
122891,1294,19.783333333333335,1187.0,0.19793853,ATTACKING_MIDFIELD,34,5996.811232254781
122891,1320,99.94685,5996.811,1.0,DEFENSE_MIDFIELD,34,5996.811
122891,9604,15.73345,944.007,0.15741816,ATTACKING_MIDFIELD,34,5996.811295469341
122891,9604,76.12645,4567.587,0.76166934,CENTER_FORWARD,34,5996.810899595881
122891,15811,76.12645,4567.587,0.76166934,ATTACKING_MIDFIELD,34,5996.810899595881
122891,23350,99.94685,5996.811,1.0,CENTRAL_DEFENDER,34,5996.811
122891,27747,19.783333333333335,1187.0,0.19793853,DEFENSE_MIDFIELD,34,5996.811232254781
122891,28559,23.8204,1429.224,0.23833068,CENTER_FORWARD,34,5996.81081764211
122891,49785,99.94685,5996.811,1.0,GOALKEEPER,34,5996.811
122891,62650,8.08695,485.217,0.08091251,RIGHT_WINGBACK_DEFENDER,34,5996.810629159817
122891,62650,91.8599,5511.594,0.91908747,CENTRAL_DEFENDER,34,5996.811163142067
122891,68933,23.8204,1429.224,0.23833068,DEFENSE_MIDFIELD,34,5996.81081764211
122891,68933,56.34311666666667,3380.587,0.5637308,CENTRAL_MIDFIELD,34,5996.810889169086
122899,862,86.79726666666667,5207.836,0.8941252,CENTER_FORWARD,34,5824.504219319621
122899,930,26.193416666666668,1571.605,0.2698264,CENTRAL_MIDFIELD,34,5824.504199737312
