match_id,player_id,player_name,player_position,position_side,first_event_minute,last_event_minute,total_events,passes,successful_passes,failed_passes,receptions,dribbles,successful_dribbles,failed_dribbles,shots,successful_shots,between_lines_receptions,wide_availability,box_availability,hold_up_actions,back_availability,fdr_availability,final_third_actions,opponent_box_actions,interceptions,loose_ball_regains,ground_duels,clearances,blocks,high_pressure_actions,average_pressure,total_pxt,average_pxt,max_pxt,average_distance_to_goal,average_x,average_y,minutes,total_events_per90,passes_per90,receptions_per90,dribbles_per90,shots_per90,between_lines_receptions_per90,wide_availability_per90,box_availability_per90,hold_up_actions_per90,back_availability_per90,fdr_availability_per90,final_third_actions_per90,opponent_box_actions_per90,interceptions_per90,loose_ball_regains_per90,ground_duels_per90,clearances_per90,blocks_per90,high_pressure_actions_per90,total_pxt_per90,pass_attempts_with_result,pass_success_rate,dribble_attempts_with_result,dribble_success_rate
122841,622,Ginter,CENTRAL_DEFENDER,CENTRE_RIGHT,0.4477333333333333,216.22230166666668,118,43,31,9,27,18,17,1,0,0,0,4,0,1,19,0,6,1,6,12,2,3,4,29,26.120689655172413,0.248507,0.002105991525423729,0.009422,71.1957627118644,36.53220338983051,28.279661016949152,101.29913333333334,104.83801440881032,38.20368321676987,23.988359229134566,15.992239486089712,0.0,0.0,3.553830996908825,0.0,0.8884577492272062,16.88069723531692,0.0,5.330746495363237,0.8884577492272062,5.330746495363237,10.661492990726474,1.7769154984544124,2.6653732476816185,3.553830996908825,25.76527472758898,0.2207879698872053,40,0.775,18,0.9444444444444444
122841,862,Sallai,RIGHT_WINGER,RIGHT,4.197666666666667,203.43923333333333,85,25,19,5,24,19,18,0,4,1,9,9,0,3,2,0,55,5,1,5,1,1,2,14,21.341463414634145,1.609363,0.019159083333333334,0.293942,41.787951807228914,70.90240963855422,13.559036144578315,90.365,84.65667017097329,24.899020638521552,23.90305981298069,18.92325568527638,3.9838433021634483,8.963647429867759,8.963647429867759,0.0,2.987882476622586,1.9919216510817241,0.0,54.77784540474742,4.979804127704311,0.9959608255408621,4.979804127704311,0.9959608255408621,0.9959608255408621,1.9919216510817241,13.94345155757207,1.6028625020749185,24,0.7916666666666666,18,1.0
122841,968,Gregoritsch,CENTER_FORWARD,CENTRE_LEFT,1.043383333333333,200.4995,82,21,12,8,27,13,8,3,8,0,6,0,3,11,0,1,45,21,1,6,0,0,2,39,44.743589743589745,2.504983,0.03054857317073171,0.224611,39.697560975609754,68.43536585365854,33.764634146341464,90.365,81.6687876943507,20.915177336358106,26.890942289603277,12.947490732031207,7.967686604326897,5.975764953245172,0.0,2.987882476622586,10.955569080949484,0.0,0.9959608255408621,44.81823714933879,20.915177336358106,0.9959608255408621,5.975764953245172,0.0,0.0,1.9919216510817241,38.842472196093624,2.4948649366458255,20,0.6,11,0.7272727272727273
122841,986,Kübler,RIGHT_WINGBACK_DEFENDER,RIGHT,2.9430166666666664,215.55265,121,37,19,8,23,18,17,0,1,0,5,14,0,0,3,0,20,3,2,17,3,5,2,29,25.91304347826087,0.763988,0.00631395041322314,0.18633,65.09333333333333,45.266666666666666,13.860833333333334,101.29913333333334,107.50338765649195,32.87293672140663,20.43452823222574,15.992239486089712,0.8884577492272062,4.442288746136031,12.438408489180887,0.0,0.0,2.6653732476816185,0.0,17.769154984544123,2.6653732476816185,1.7769154984544124,15.103781736862505,2.6653732476816185,4.442288746136031,1.7769154984544124,25.76527472758898,0.6787710589165948,27,0.7037037037037037,17,1.0
122841,1268,Günter,LEFT_WINGBACK_DEFENDER,LEFT,0.8282666666666666,208.62595166666668,122,42,30,9,37,26,26,0,0,0,2,32,1,2,0,0,35,2,2,3,2,1,2,15,14.297520661157025,0.659948,0.005409409836065574,0.030389,59.472131147540985,53.736065573770496,57.15573770491803,96.00376666666666,114.37051254586191,39.37345513873935,34.68613905079419,24.374043657314836,0.0,1.8749264351780643,29.99882296284903,0.9374632175890322,1.8749264351780643,0.0,0.0,32.81121261561612,1.8749264351780643,1.8749264351780643,2.8123896527670964,1.8749264351780643,0.9374632175890322,1.8749264351780643,14.061948263835482,0.6186769755214465,39,0.7692307692307693,26,1.0
122841,1294,Grifo,LEFT_WINGER,LEFT,1.13605,209.55885166666667,125,43,23,12,33,28,27,0,2,0,12,15,1,1,1,0,64,7,4,7,2,1,1,16,18.677685950413224,1.335836,0.010686688,0.081357,49.8288,62.9424,47.1128,96.00376666666666,117.18290219862901,40.31091835632838,30.93628618043806,26.2489700924929,1.8749264351780643,11.249558611068386,14.061948263835482,0.9374632175890322,0.9374632175890322,0.9374632175890322,0.0,59.99764592569806,6.562242523123225,3.7498528703561287,6.562242523123225,1.8749264351780643,0.9374632175890322,0.9374632175890322,14.999411481424515,1.2522971147312623,35,0.6571428571428571,27,1.0
122841,1320,Eggestein,DEFENSE_MIDFIELD,CENTRE_LEFT,0.7487833333333334,214.1798333333333,155,54,49,3,37,38,37,0,0,0,11,1,0,3,22,0,14,0,6,10,4,3,1,33,20.45751633986928,0.581765,0.003753322580645161,0.01713,63.937012987012984,42.56428571428571,37.4487012987013,101.29913333333334,137.71095113021696,47.97671845826913,32.87293672140663,33.76139447063384,0.0,9.773035241499269,0.8884577492272062,0.0,2.6653732476816185,19.546070482998537,0.0,12.438408489180887,0.0,5.330746495363237,8.884577492272062,3.553830996908825,2.6653732476816185,0.8884577492272062,29.319105724497803,0.5168736224791656,52,0.9423076923076923,37,1.0
122841,9604,Höler,CENTER_FORWARD,CENTRE_RIGHT,10.754366666666666,215.56575166666667,117,42,29,10,38,22,18,3,0,0,17,7,0,4,0,2,45,7,2,6,1,1,2,28,30.347826086956523,1.274931,0.010896846153846155,0.066465,52.30427350427351,56.82905982905983,25.895726495726496,90.365,116.52741658828087,41.83035467271621,37.84651137055276,21.91113816189897,0.0,16.931334034194656,6.971725778786035,0.0,3.9838433021634483,0.0,1.9919216510817241,44.81823714933879,6.971725778786035,1.9919216510817241,5.975764953245172,0.9959608255408621,0.9959608255408621,1.9919216510817241,27.88690311514414,1.269781331267637,39,0.7435897435897436,21,0.8571428571428571
122841,23350,Lienhart,CENTRAL_DEFENDER,CENTRE_LEFT,0.5423833333333333,215.79253333333332,217,72,53,13,58,50,49,1,1,0,1,4,1,4,48,0,16,5,6,12,1,2,2,20,11.095238095238095,0.973697,0.004487082949308756,0.202993,69.29859813084111,38.754205607476635,49.2088785046729,101.29913333333334,192.79533158230373,63.96895794435885,51.53054945517796,44.42288746136031,0.8884577492272062,0.8884577492272062,3.553830996908825,0.8884577492272062,3.553830996908825,42.6459719629059,0.0,14.2153239876353,4.442288746136031,5.330746495363237,10.661492990726474,0.8884577492272062,1.7769154984544124,1.7769154984544124,17.769154984544123,0.8650886450492831,66,0.803030303030303,50,0.98
122841,68933,Röhl,DEFENSE_MIDFIELD,CENTRE_RIGHT,1.2300833333333334,194.14541666666668,62,18,16,2,14,15,15,0,0,0,5,2,0,1,5,1,24,2,4,1,1,2,2,9,22.80701754385965,0.507153,0.008179887096774193,0.042858,49.001724137931035,59.95517241379311,28.31896551724138,79.27913333333332,70.38422048004226,20.434128526463883,15.893211076138575,17.0284404387199,0.0,5.676146812906634,2.2704587251626536,0.0,1.1352293625813268,5.676146812906634,1.1352293625813268,27.24550470195184,2.2704587251626536,4.540917450325307,1.1352293625813268,1.1352293625813268,2.2704587251626536,2.2704587251626536,10.217064263231942,0.5757349769212076,18,0.8888888888888888,15,1.0
